max_time;nodes;formula_size;sample_count;compilation;visualization;simulation;
100;400;24;10000000;889754;153;13829262;
100;400;24;10000000;897000;158;13823893;
100;400;24;10000000;890772;142;13809531;
100;400;24;10000000;897311;151;13828282;
100;400;49;10000000;1557377;161;27901218;
100;400;49;10000000;1554376;166;27816093;
100;400;49;10000000;1552016;154;27832809;
100;400;49;10000000;1555311;152;27806989;
100;600;4;2000000;519647;149;2867604;
100;600;4;2000000;509039;128;2868210;
100;600;4;2000000;507504;131;2869292;
100;600;4;2000000;508945;131;2869802;
100;600;24;2000000;7897069;141;4128151;
100;600;24;2000000;1306390;142;4147755;
100;600;24;2000000;1313816;151;4159184;
100;600;24;2000000;1312193;135;4164615;
100;600;49;2000000;15910509;151;8122701;
100;600;49;2000000;2481123;153;8131022;
100;600;49;2000000;2276921;138;8122156;
100;600;49;2000000;2368641;161;8121723;
100;600;4;4000000;518014;150;5705170;
100;600;4;4000000;518209;149;5707404;
100;600;4;4000000;518589;151;5707554;
100;600;4;4000000;524022;142;5710779;
100;600;24;4000000;1441430;158;8322592;
100;600;24;4000000;1425878;159;8309204;
100;600;24;4000000;1434067;154;8309194;
100;600;24;4000000;1430597;154;8304982;
100;600;49;4000000;2541771;170;16403777;
100;600;49;4000000;2527037;178;16361716;
100;600;49;4000000;2526676;158;16341285;
100;600;49;4000000;2486125;139;16345051;
100;600;4;6000000;556588;158;8551569;
100;600;4;6000000;567710;154;8554852;
100;600;4;6000000;549009;153;8556959;
100;600;4;6000000;562843;158;8556302;
100;600;24;6000000;1398981;154;12463592;
100;600;24;6000000;1344752;155;12467072;
100;600;24;6000000;1351609;135;12483010;
100;600;24;6000000;1351197;145;12484354;
100;600;49;6000000;2415229;158;24716806;
100;600;49;6000000;2589839;175;24623308;
100;600;49;6000000;2553934;268;24533816;
100;600;49;6000000;2382852;155;24569795;
100;600;4;8000000;521591;143;11392166;
100;600;4;8000000;523842;144;11400662;
100;600;4;8000000;527550;142;11401922;
100;600;4;8000000;524868;140;11410553;
100;600;24;8000000;1364226;143;16751970;
100;600;24;8000000;1373424;143;16712403;
100;600;24;8000000;1362595;145;16686215;
100;600;24;8000000;1360767;143;16660035;
100;600;49;8000000;2409455;155;33006265;
100;600;49;8000000;2599203;167;32876395;
100;600;49;8000000;2552962;161;32773898;
100;600;49;8000000;2545703;169;32732370;
100;600;4;10000000;559626;164;14237296;
100;600;4;10000000;560887;154;14243315;
100;600;4;10000000;559060;161;14246780;
100;600;4;10000000;562424;162;14243540;
100;600;24;10000000;1436558;185;20868393;
100;600;24;10000000;1445097;154;20780495;
100;600;24;10000000;1449159;156;20783770;
100;600;24;10000000;1426782;156;20773804;
100;600;49;10000000;2568513;174;41103373;
100;600;49;10000000;2553943;166;40966502;
100;600;49;10000000;2554355;162;40951099;
100;600;49;10000000;2537164;162;40977173;
100;800;4;2000000;674154;161;3901262;
100;800;4;2000000;664503;171;3907465;
100;800;4;2000000;665399;160;3907244;
100;800;4;2000000;662516;158;3909045;
100;800;24;2000000;11136441;153;7122872;
100;800;24;2000000;1781366;155;7166666;
100;800;24;2000000;1781699;151;7178368;
100;800;24;2000000;1786279;154;7181434;
100;800;49;2000000;22432799;149;10785541;
100;800;49;2000000;3032848;172;10799560;
100;800;49;2000000;3034469;162;10802276;
100;800;49;2000000;3068390;159;10805774;
100;800;4;4000000;671551;151;7733277;
100;800;4;4000000;660260;150;7750043;
100;800;4;4000000;713844;165;7770024;
100;800;4;4000000;714407;160;7763440;
100;800;24;4000000;1911028;158;14454630;
100;800;24;4000000;1918810;171;14420596;
100;800;24;4000000;1909234;158;14434467;
100;800;24;4000000;1911973;177;14414395;
100;800;49;4000000;3041927;147;21793513;
100;800;49;4000000;3006807;144;21815669;
100;800;49;4000000;3371254;173;21766483;
100;800;49;4000000;3316120;166;21761317;
100;800;4;6000000;711400;168;11613228;
100;800;4;6000000;712078;176;11629712;
100;800;4;6000000;713063;166;11639451;
100;800;4;6000000;710052;165;11671497;
100;800;24;6000000;1925705;172;21730864;
100;800;24;6000000;1918473;157;21736944;
100;800;24;6000000;1914354;165;21681576;
100;800;24;6000000;1919259;161;21669247;
100;800;49;6000000;3303959;165;32682633;
100;800;49;6000000;3316730;161;32648627;
100;800;49;6000000;3306370;160;32625565;
100;800;49;6000000;3301009;157;32624749;
100;800;4;8000000;708111;162;15459901;
100;800;4;8000000;709374;166;15506085;
100;800;4;8000000;711783;165;15534570;
100;800;4;8000000;713750;169;15651244;
100;800;24;8000000;1987405;167;29155124;
100;800;24;8000000;1744470;148;29152566;
100;800;24;8000000;1950487;165;29104418;
100;800;24;8000000;1925039;166;29003575;
100;800;49;8000000;3341441;163;43849308;
100;800;49;8000000;3301533;164;43695243;
100;800;49;8000000;3317476;163;43680131;
100;800;49;8000000;3312932;153;43638515;
100;800;4;10000000;683774;158;19451761;
100;800;4;10000000;706236;166;19492779;
100;800;4;10000000;717460;172;19723715;
100;800;4;10000000;721695;169;19433200;
100;800;24;10000000;1928679;163;36409337;
100;800;24;10000000;1866584;162;36247902;
100;800;24;10000000;1921575;160;36240495;
100;800;24;10000000;1914207;167;36248340;
100;800;49;10000000;3347088;178;54590305;
100;800;49;10000000;3302643;168;54502554;
100;800;49;10000000;3233930;158;54500850;
100;800;49;10000000;3310890;170;54484224;
100;1000;4;2000000;879949;184;4807761;
100;1000;4;2000000;868261;177;4816818;
100;1000;4;2000000;882556;175;4818325;
100;1000;4;2000000;890342;186;4820195;
100;1000;24;2000000;15772976;170;8859815;
100;1000;24;2000000;2404804;176;8890049;
100;1000;24;2000000;2425851;175;8913344;
100;1000;24;2000000;2427616;182;8935603;
100;1000;49;2000000;31298984;174;13502150;
100;1000;49;2000000;4048431;183;13507735;
100;1000;49;2000000;4051964;175;13513861;
100;1000;49;2000000;3774792;160;13515488;
100;1000;4;4000000;861350;178;9522697;
100;1000;4;4000000;799268;161;9537359;
100;1000;4;4000000;808886;167;9556155;
100;1000;4;4000000;872991;189;9575152;
100;1000;24;4000000;2268291;161;18015516;
100;1000;24;4000000;2399919;181;17953364;
100;1000;24;4000000;2281281;171;18027419;
100;1000;24;4000000;2434383;178;17977711;
100;1000;49;4000000;4160315;178;27280805;
100;1000;49;4000000;4135518;176;27220781;
100;1000;49;4000000;4129800;176;27210351;
100;1000;49;4000000;4160616;177;27247803;
100;1000;4;6000000;865586;174;14314792;
100;1000;4;6000000;787769;159;14362222;
100;1000;4;6000000;801707;174;14394382;
100;1000;4;6000000;882996;182;14410399;
100;1000;24;6000000;2474443;179;27171289;
100;1000;24;6000000;2207643;158;27091222;
100;1000;24;6000000;2236725;167;27149137;
100;1000;24;6000000;2467137;174;27116393;
100;1000;49;6000000;4198350;175;40985873;
100;1000;49;6000000;4057859;167;40909373;
100;1000;49;6000000;4054615;171;40923932;
100;1000;49;6000000;4167234;178;40871583;
100;1000;4;8000000;814790;165;19113758;
100;1000;4;8000000;816600;169;19187034;
100;1000;4;8000000;827982;168;19203672;
100;1000;4;8000000;892354;182;19221740;
100;1000;24;8000000;2457322;182;36340811;
100;1000;24;8000000;2280897;168;36147327;
100;1000;24;8000000;2300472;163;36272865;
100;1000;24;8000000;2305101;166;36187796;
100;1000;49;8000000;3939753;168;54883089;
100;1000;49;8000000;3940770;168;54755162;
100;1000;49;8000000;3938704;166;54703037;
100;1000;49;8000000;4186024;176;54675122;
100;1000;4;10000000;843191;170;23883938;
100;1000;4;10000000;851113;175;23963478;
100;1000;4;10000000;850565;172;23991192;
100;1000;4;10000000;878375;177;24013868;
100;1000;24;10000000;2458300;176;45401586;
100;1000;24;10000000;2426675;170;45258186;
100;1000;24;10000000;2370933;171;45244439;
100;1000;24;10000000;2447880;178;45176209;
100;1000;49;10000000;3780710;156;68532182;
100;1000;49;10000000;3818822;162;68520907;
100;1000;49;10000000;4239213;174;68424247;
100;1000;49;10000000;4169589;196;68471287;
100;200;9;2000000;1556895;128;353502;
100;200;9;2000000;294713;137;303101;
100;200;9;2000000;288680;119;305272;
100;200;9;2000000;279728;129;304155;
100;200;9;4000000;283608;134;600058;
100;200;9;4000000;290574;150;602843;
100;200;9;4000000;288716;148;596353;
100;200;9;4000000;268508;126;599353;
100;200;9;6000000;269670;127;884952;
100;200;9;6000000;287284;201;891227;
100;200;9;6000000;275783;135;891052;
100;200;9;6000000;282712;137;890675;
100;200;9;8000000;282104;137;1184338;
100;200;9;8000000;291204;143;1186819;
100;200;9;8000000;298140;140;1196715;
100;200;9;8000000;301551;139;1190393;
100;200;9;10000000;297449;139;1483603;
100;200;9;10000000;270778;123;1485420;
100;200;9;10000000;294694;145;1488415;
100;200;9;10000000;303355;144;1489087;
100;400;9;2000000;2805049;118;2412368;
100;400;9;2000000;466865;120;2397499;
100;400;9;2000000;485925;137;2396700;
100;400;9;2000000;508835;141;2395716;
100;400;9;4000000;513498;134;4759424;
100;400;9;4000000;512481;153;4760876;
100;400;9;4000000;518120;133;4757541;
100;400;9;4000000;516265;141;4763217;
100;400;9;6000000;501306;140;7127284;
100;400;9;6000000;464514;132;7132778;
100;400;9;6000000;509535;136;7126779;
100;400;9;6000000;469962;123;7129137;
100;400;9;8000000;480452;121;9489029;
100;400;9;8000000;481660;140;9539331;
100;400;9;8000000;542706;143;9572730;
100;400;9;8000000;536951;143;9604078;
100;400;9;10000000;538088;145;12010531;
100;400;9;10000000;531636;140;12036503;
100;400;9;10000000;535263;154;12049045;
100;400;9;10000000;485875;128;12112161;
100;600;9;2000000;4328968;142;2955597;
100;600;9;2000000;689430;133;2946071;
100;600;9;2000000;695743;130;2945677;
100;600;9;2000000;756468;163;2947734;
100;600;9;4000000;758877;159;5866882;
100;600;9;4000000;692000;135;5869535;
100;600;9;4000000;697714;153;5875663;
100;600;9;4000000;701253;156;5879505;
100;600;9;6000000;705139;137;8792631;
100;600;9;6000000;705930;134;8800415;
100;600;9;6000000;703455;144;8798244;
100;600;9;6000000;702616;141;8797079;
100;600;9;8000000;785596;153;11732851;
100;600;9;8000000;783357;171;11722369;
100;600;9;8000000;694295;141;11734819;
100;600;9;8000000;755577;158;11724499;
100;600;9;10000000;811703;148;14868115;
100;600;9;10000000;774738;228;14578783;
100;600;9;10000000;760614;153;14560320;
100;600;9;10000000;764686;156;14577877;
100;800;9;2000000;4962623;160;3956375;
100;800;9;2000000;1007072;144;3959303;
100;800;9;2000000;1007244;161;3952667;
100;800;9;2000000;1005724;161;3968552;
100;800;9;4000000;1010656;164;7864762;
100;800;9;4000000;963877;162;7870290;
100;800;9;4000000;975258;158;7873897;
100;800;9;4000000;974757;154;7863226;
100;800;9;6000000;972099;160;11823411;
100;800;9;6000000;1006947;164;11779323;
100;800;9;6000000;1007004;163;11787766;
100;800;9;6000000;899018;148;11818249;
100;800;9;8000000;938056;157;15704962;
100;800;9;8000000;977305;176;15710896;
100;800;9;8000000;977470;158;15712970;
100;800;9;8000000;983109;167;15743023;
100;800;9;10000000;985631;161;19651593;
100;800;9;10000000;985636;177;19663389;
100;800;9;10000000;1004404;160;19641373;
100;800;9;10000000;1000703;162;19639154;
100;1000;9;2000000;6390549;172;4864373;
100;1000;9;2000000;1211950;170;4853083;
100;1000;9;2000000;1165933;163;4857365;
100;1000;9;2000000;1130667;156;4860760;
100;1000;9;4000000;1141337;162;9680548;
100;1000;9;4000000;1254416;183;9684851;
100;1000;9;4000000;1260776;178;9688040;
100;1000;9;4000000;1246048;178;9685795;
100;1000;9;6000000;1170061;168;14514284;
100;1000;9;6000000;1269878;178;14513193;
100;1000;9;6000000;1245757;180;14527724;
100;1000;9;6000000;1247994;184;14511423;
100;1000;9;8000000;1169467;163;19353290;
100;1000;9;8000000;1227394;170;19348549;
100;1000;9;8000000;1137369;158;19353972;
100;1000;9;8000000;1145788;162;19357239;
100;1000;9;10000000;1158738;160;24180150;
100;1000;9;10000000;1190832;177;24191748;
100;1000;9;10000000;1247243;177;24181504;
100;1000;9;10000000;1256677;180;24201028;
