max_time;nodes;formula_size;sample_count;compilation;visualization;simulation;
700;100;4;1000000;435351;975;377931;
700;100;4;1000000;428964;1189;377984;
800;100;4;1000000;862674;1146;426319;
800;100;4;1000000;425801;1170;426701;
800;100;4;1000000;422677;1126;426652;
800;100;4;1000000;422679;1129;451899;
800;100;4;1000000;421615;1176;426633;
900;100;4;1000000;862250;1396;479804;
900;100;4;1000000;426112;1293;479767;
900;100;4;1000000;425856;1283;479771;
900;100;4;1000000;425018;1289;480288;
900;100;4;1000000;421774;1273;480075;
1000;100;4;1000000;859949;1458;524573;
1000;100;4;1000000;427552;1404;524471;
1000;100;4;1000000;426349;1464;524413;
1000;100;4;1000000;421128;1445;524691;
1000;100;4;1000000;424527;1417;524753;
100;100;4;1000000;423489;140;46985;
100;100;4;1000000;423837;136;47015;
100;100;4;1000000;422438;143;47027;
100;100;4;1000000;421603;133;47488;
100;100;4;1000000;422136;152;47125;
100;100;9;1000000;999682;132;55590;
100;100;9;1000000;441548;146;55679;
100;100;9;1000000;446609;143;55760;
100;100;9;1000000;443374;138;55874;
100;100;9;1000000;439796;142;55671;
100;100;14;1000000;1160487;147;62799;
100;100;14;1000000;467184;143;62959;
100;100;14;1000000;465480;147;63041;
100;100;14;1000000;466241;147;62875;
100;100;14;1000000;463323;152;62984;
100;100;19;1000000;1337456;155;67391;
100;100;19;1000000;487918;155;67471;
100;100;19;1000000;482729;153;67446;
100;100;19;1000000;482882;153;67446;
100;100;19;1000000;491650;151;67392;
100;100;24;1000000;1589765;168;76080;
100;100;24;1000000;515332;166;75470;
100;100;24;1000000;509080;163;75378;
100;100;24;1000000;506428;174;74811;
100;100;24;1000000;506925;169;75289;
100;100;29;1000000;1640939;159;77027;
100;100;29;1000000;532388;166;76276;
100;100;29;1000000;525845;173;76138;
100;100;29;1000000;525978;175;76391;
100;100;29;1000000;531329;170;76266;
100;100;34;1000000;1813318;160;84241;
100;100;34;1000000;551923;170;84077;
100;100;34;1000000;547328;169;83924;
100;100;34;1000000;551924;167;83554;
100;100;34;1000000;547277;169;84175;
100;100;39;1000000;1965168;166;89826;
100;100;39;1000000;571915;164;89875;
100;100;39;1000000;567219;173;89839;
100;100;39;1000000;564227;174;89370;
100;100;39;1000000;568402;175;89496;
100;100;44;1000000;2105172;161;92003;
100;100;44;1000000;600225;169;91928;
100;100;44;1000000;592257;165;91855;
100;100;44;1000000;586127;172;91929;
100;100;44;1000000;584375;163;91801;
100;100;49;1000000;2240873;160;96664;
100;100;49;1000000;613272;171;123881;
100;100;49;1000000;613394;172;96263;
100;100;49;1000000;606231;180;96625;
100;100;49;1000000;607485;168;96382;
100;200;4;2000000;466485;139;123751;
100;200;4;2000000;463383;137;123556;
100;200;4;2000000;463286;139;123601;
100;200;4;2000000;464554;142;123723;
100;200;4;2000000;463369;137;123835;
100;200;24;2000000;2492533;146;260739;
100;200;24;2000000;642823;151;259885;
100;200;24;2000000;635237;153;260451;
100;200;24;2000000;634617;149;260184;
100;200;24;2000000;633177;157;260176;
100;200;49;2000000;3797249;140;1065127;
100;200;49;2000000;859287;156;1064073;
100;200;49;2000000;864241;160;1065142;
100;200;49;2000000;849635;155;1060012;
100;200;49;2000000;852034;156;1061956;
100;200;4;4000000;466555;135;234488;
100;200;4;4000000;470936;136;234236;
100;200;4;4000000;477203;137;234462;
100;200;4;4000000;465349;137;234413;
100;200;4;4000000;463195;145;234414;
100;200;24;4000000;632941;151;509753;
100;200;24;4000000;633930;169;509770;
100;200;24;4000000;632581;152;509620;
100;200;24;4000000;636130;153;509238;
100;200;24;4000000;638486;159;509647;
100;200;49;4000000;849393;168;2099485;
100;200;49;4000000;853185;163;2099405;
100;200;49;4000000;857734;165;2101475;
100;200;49;4000000;855790;163;2100592;
100;200;49;4000000;858902;162;2096558;
100;200;4;6000000;469764;140;345198;
100;200;4;6000000;469767;139;345070;
100;200;4;6000000;466074;139;344964;
100;200;4;6000000;463852;141;345247;
100;200;4;6000000;465032;137;344908;
100;200;24;6000000;670885;156;759439;
100;200;24;6000000;641083;155;758580;
100;200;24;6000000;631543;151;759244;
100;200;24;6000000;638905;156;758048;
100;200;24;6000000;629537;152;758962;
100;200;49;6000000;852209;167;3134129;
100;200;49;6000000;847586;157;3130506;
100;200;49;6000000;853135;173;3131328;
100;200;49;6000000;853310;161;3128189;
100;200;49;6000000;856008;163;3129860;
100;200;4;8000000;469553;138;456912;
100;200;4;8000000;507455;145;456718;
100;200;4;8000000;465103;148;457013;
100;200;4;8000000;472184;140;457119;
100;200;4;8000000;471995;142;456776;
100;200;24;8000000;640082;168;1010843;
100;200;24;8000000;634853;154;1009910;
100;200;24;8000000;639806;154;1009940;
100;200;24;8000000;636303;157;1009549;
100;200;24;8000000;644473;154;1010018;
100;200;49;8000000;851968;165;4174410;
100;200;49;8000000;850148;160;4177133;
100;200;49;8000000;850459;166;4165676;
